Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1950,107682,109814,106616,107682,106616,107682,111947,104484,106616,108748,107682,110881,1296450
1951,106616,100927,108909,104665,100207,102438,103882,106584,108670,107683,100444,109258,1260283
1952,106616,105550,109814,110881,106616,103418,109814,105550,110881,111947,106616,111947,1299650
1953,107682,103418,108748,111947,110881,107682,104484,109814,105550,104484,101285,103418,1279393
1954,111947,107682,110881,107682,109814,104484,110881,105550,102351,101285,109814,109814,1292185
1955,102351,106616,104484,110881,107682,104484,104484,106616,109814,107682,104484,107682,1277260
1956,105550,104484,109814,103418,104484,102351,101285,110881,110881,102351,109814,107682,1272995
1957,110881,103418,106616,107682,107682,101285,102351,105550,111947,102351,101285,108748,1269796
1958,102351,103418,103418,102351,109814,104484,110881,102351,111947,101285,109814,104484,1266598
1959,105550,109814,107682,108748,102351,111947,107682,102351,102351,101285,107682,104484,1271927
1960,107682,105550,104484,108748,105550,107682,102351,101285,111947,108748,102351,108748,1275126
1961,103418,107682,111947,101285,105550,102351,108748,110881,104484,101285,110881,111947,1280459
1962,101285,109814,101285,106616,109814,101285,104484,104484,103418,102351,110881,107682,1263399
1963,105550,101285,109814,111947,101285,102351,109814,103418,109814,105550,108748,101285,1270861
1964,107682,109814,106616,107682,106616,107682,111947,104484,106616,108748,107682,110881,1296450
1965,106616,106616,102351,104484,107682,105550,104484,104484,106616,108748,105550,110881,1274062
1966,101285,101285,111947,107682,106616,111947,108748,109814,104484,111947,103418,111947,1291120
1967,104484,108748,107682,110881,107682,102351,106616,104484,111947,106616,109814,111947,1293252
1968,111947,101285,107682,111947,104484,103418,102351,101285,111947,105550,104484,111947,1278327
1969,106616,110881,105550,104484,103418,110881,102351,109814,102351,111947,104484,105550,1278327
1970,107682,104484,105550,104484,111947,107682,108748,111947,105550,110881,104484,105550,1288989
1971,101285,107682,110881,110881,110881,102351,104484,107682,102351,107682,103418,105550,1275128
1972,101285,111947,111947,101285,111947,105550,109814,107682,101285,103418,111947,103418,1281525
1973,102351,105550,111947,109814,110881,108748,105550,109814,102351,104484,103418,111947,1286855
1974,102351,109814,108748,102351,110881,111947,109814,107682,105550,106616,101285,106616,1283655
1975,101285,106616,107682,103418,106616,109814,104484,111947,110881,109814,108748,110881,1292186
1976,108748,105550,108748,104484,109814,106616,108748,108748,110881,106616,109814,103418,1292185
1977,106616,107682,102351,110881,109814,110881,103418,109814,110881,104484,110881,105550,1293253
1978,105550,109814,103418,106616,105550,101285,107682,107682,106616,110881,108748,101285,1275127
1979,111947,110881,106616,102351,110881,109814,110881,106616,108748,103418,103418,101285,1286856
1980,110881,102351,106616,101285,105550,103418,101285,105550,111947,110881,106616,109814,1276194
1981,111947,108748,105550,102351,101285,106616,107682,110881,108748,108748,105550,103418,1281524
1982,102351,107682,105550,111947,105550,103418,103418,108748,108748,102351,106616,103418,1269797
1983,111947,102351,108748,107682,109814,109814,102351,102351,103418,103418,103418,107682,1272994
1984,108748,107682,110881,108748,104484,103418,103418,108748,104484,106616,102351,111947,1281525
1985,108748,108748,102351,110881,104484,106616,106616,105550,108748,101285,109814,109814,1283655
1986,107682,104484,102351,104484,109814,109814,109814,109814,111947,103418,105550,109814,1288986
1987,109814,108748,109814,106616,107682,105550,108748,108748,102351,111947,109814,110881,1300713
1988,109814,104484,110881,109814,103418,110881,110881,107682,111947,109814,107682,104484,1301782
1989,106616,101285,104484,103418,110881,111947,107682,109814,111947,110881,106616,106616,1292187
1990,103418,111947,106616,111947,102351,106616,103418,109814,105550,110881,109814,109814,1292186
1991,105550,105550,111947,102351,104484,102351,107682,108748,102351,107682,101285,104484,1264465
1992,108748,108748,101285,103418,105550,105550,104484,103418,106616,109814,101285,106616,1265532
1993,108748,107682,106616,109814,109814,109814,106616,109814,110881,102351,102351,102351,1286852
1994,105550,111947,108748,102351,101285,105550,106616,107682,109814,101285,105550,111947,1278325
1995,101285,103418,101285,111947,103418,103418,110881,109814,111947,108748,103418,107682,1277261
1996,105550,109814,107682,103418,102351,111947,108748,108748,109814,103418,106616,105550,1283656
1997,103418,103418,104484,106616,109814,102351,111947,110881,108748,107682,103418,105550,1278327
1998,107682,105550,106616,106616,109814,106616,109814,104484,109814,111947,104484,111947,1295384
1999,105550,110881,107682,109814,107682,108748,108748,107682,103418,104484,111947,109814,1296450
2000,101285,101285,108748,110881,103418,105550,104484,110881,104484,111947,110881,107682,1281526
2001,102351,104484,102351,111947,110881,109814,111947,109814,101285,109814,102351,108748,1285787
2002,105550,104484,111947,101285,109814,109814,105550,110881,103418,107682,108748,107682,1286855
2003,105550,104484,103418,103418,107682,107682,102351,102351,102351,106616,105550,106616,1258069
2004,109814,110881,103418,105550,105550,111947,111947,106616,108748,106616,111947,108748,1301782
2005,102351,108748,108748,102351,101285,103418,107682,104484,106616,103418,104484,109814,1263399
2006,103418,102351,110881,104484,103418,101285,101285,110881,109814,102351,103418,109814,1263400
2007,108748,110881,110881,106616,105550,111947,106616,110881,108748,109814,111947,101285,1303914
2008,104484,102351,111947,102351,109814,108748,109814,102351,101285,102351,105550,111947,1272993
2009,106616,106616,110881,101285,101285,105550,107682,107682,104484,102351,106616,106616,1267664
